,1
1st,2
2nd,3
3rd,4
4th,5
5th,6
6th,7
7th,8
8th,9
9th,10
10th,11
11th,12
12th,13
13th,14
14th,15
15th,16
16th,17
17th,18
18th,19
19th,20
20th,21
Engines,22
Trucks,23
Rescue/Squads,24
ALS Transports,25
BLS Transports,26
EMS Officer,27
Tankers,28
Brush Engines,29
Patrol Truck,30
Knight Truck,31
Wildland,32
Attack Tanker,33
ARFF,34
HM,35
USAR,36
SW,37
AR,38
HELO,39
PLANE,40
Chief,41
FMO,42
All,43
,44
,45
,46
,47
,48
,49
,50
,51
,52
,53
,54
,55
,56
,57
,58
,59
,60
,61
,62
,63
,64
,65
,66
,67
,68
,69
,70
,71
,72
,73
,74
,75
,76
,77
,78
,79
,80
,81
,82
,83
,84
,85
,86
,87
,88
,89
,90
,91
,92
,93
,94
,95
,96
,97
,98
,99
,100
,101
,102
,103
,104
,105
,106
,107
,108
,109
,110
,111
,112
,113
,114
,115
,116
,117
,118
,119
,120
,121
,122
,123
,124
,125
,126
,127
,128
,129
,130
,131
,132
,133
,134
,135
,136
,137
,138
,139
,140
,141
,142
,143
,144
,145
,146
,147
,148
,149
,150
,151
,152
,153
,154
,155
,156
,157
,158
,159
,160
,161
,162
,163
,164
,165
,166
,167
,168
,169
,170
,171
,172
,173
,174
,175
,176
,177
,178
,179
,180
,181
,182
,183
,184
,185
,186
,187
,188
,189
,190
,191
,192
,193
,194
,195
,196
,197
,198
,199
,200
,201
,202
,203
,204
,205
,206
,207
,208
,209
,210
,211
,212
,213
,214
,215
,216
,217
,218
,219
,220
,221
,222
,223
,224
,225
,226
,227
,228
,229
,230
,231
,232
,233
,234
,235
,236
,237
,238
,239
,240
