FOR SIMULATION USE ONLY,,,,,
,Time now 00:50Z,New e-CIDS Entry,Fire Progress Report,Pre-Incident Guidelines,
,Postal,0201,, is in District ,4
,,,,,
,Jurisdiction:,FZ [1:2P 2:3C S: O:],,,BOX: 4-471
,The running order is:,"4,3,11,1,8,2,10,6,7,5,9,12",,,
,Insert custom box →,,TONE: OTHER,Hydranted,TRUE
,Determinant Code,71B05H, receives a(n) ,FIRE|VEH|HM / FVH response.,
,,,,,
,Recommendation [1E+1HM+1CH+1FMO]:,E001 HM20 BC21 [FM01] [DSO] [FMO] [71B05H],,,
,,,,"LOCATION: 0201
CROSS: ROUTE 1 HWY (GREAT OCEAN HWY) TO FORT ZANCUDO APPROACH RD
RECOMMENDATION: E001 HM20 BC21 [FM01] [DSO] [FMO] [71B05H]
UNITS ASSIGNED: 
INCIDENT: VEHICLE FIRE, AGRICULTURAL/FARM/EXCAVATION/CONSTRUCTION MACHINERY (EXTINGUISHED), HAZMAT",
,,,,,
,Engines in order:,E001 E002 E012 E020 1ALM	E021 E022 E023 E024 2ALM	E025 E026 E027 E201 3ALM	E220 E221 E222 E223 4ALM	E224 E225 E226 E227 5ALM	QNT22 QNT23,,,
,Trucks in order:,T001 T020 L021 QNT22 QNT23 TL024 L027 T220 T221 L224,,,
,Rescue/Squads in order:,R020 R021 R022 R023 R024 R026 R027 R220 R221 R222 R223 R224 R226 R227,,,
,Tankers in order:,TNK01 TNK02 TNK20 TNK21 TNK22 TNK23 TNK24 TNK25 TNK26 TNK27,,,
,EMS Transports in order:,M001 M002 M020 M021 M022 M023 M024 M025 M026 M027 M201 M220 M221 M222 M223 M224 M225 M226 M227 ARCHER AMR A001 A002 A020 A021 A022 A023 A024 A025 A026 A027 A201 A220 A221 A222 A223 AMR,,,
,DSO Units in order:,HM20 HM21 HM22 HM23 HM24 HM27 USAR20 UK902 K920 UU01 US02 UU20 UTV01 ATV01 UTV02 ATV02 FC20 SW01 MARRES01 SW20 SW21 SW22 SW23 DIVE01 MARSUP01 MARSUP02 DIVE20 DIVE21 DIVE22 DIVE23 GUARDIAN02 MARINE20 MARINE21 MARINE22 MARINE23 RB20 RB21 RB22 RB23 BWDS20 BWDS21 BWDS22 BWDS23 AIR23 AIR25 AIR26 AIR31 AIR33 AIR34 AIR51 AIR52,,,
,,,,,
,Postal,LTD D VINEWOOD GAS STATION - 430 N ROCKFORD DR (ROUTE 14),, is in District ,#N/A
,,,,,
,Jurisdiction:,#N/A,#N/A,,#N/A
,The running order is:,#N/A,,,
,Insert custom box →,,TONE: RESD,#N/A,#N/A
,Determinant Code,69E00R, receives a(n) ,FIRE|BLDG|TRAP / FJT response.,
,,,,,
,Recommendation [3E+1T+1R+2M+1CH]:,#N/A,,,
,#N/A,#N/A,,#N/A,
,Pre-Incident Guideline:,#N/A,,,
,Engines in order:,#N/A,,,
,Trucks in order:,#N/A,,,
,Rescue/Squads in order:,#N/A,,,
,Tankers in order:,#N/A,,,
,EMS Transports in order:,#N/A,,,
,DSO Units in order:,#N/A,,,
FOR SIMULATION USE ONLY,,,,,
